Specialty,CPT Code,PPL?,decision by ROI,decision source,clinical reason,final decision,new rate
SURGERY - NEURO,20610,0,1,rule,Pend EPL,0,
SURGERY - NEURO,20610,1,1,rule,low volume,0,0
SURGERY - ORTHO,20610,0,1,rule,Pend EPL,0,0
SURGERY - ORTHO,20610,1,1,DBA,,1,0.79
UNK PHYS SPEC,20610,0,1,rule,Pend EPL,0,
ACUPUNCTURE,2101,0,0,rule,Pend EPL,0,0
ACUPUNCTURE,2101,1,0,rule,Hard Pend Specialty,0,
PAIN MANAGEMENT,2101,1,0,rule,low volume,0,0
ACUPUNCTURE,27096,1,1,rule,Hard Pend Specialty,0,0
AMBULATORY SURGICAL CENTER,27096,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,27096,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,27096,0,1,rule,Pend EPL,0,
FACILITY SERVICES,27096,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,27096,1,1,rule,Hard Pend Specialty,0,0
INTERVENTIONAL RADIOLOGY,27096,0,1,rule,Pend EPL,0,
PAIN MANAGEMENT,27096,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,27096,1,1,DBA,,1,0.96
RADIOLOGY_s,27096,1,1,rule,low volume,0,
RHEUMATOLOGY,27096,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,27096,0,1,rule,Pend EPL,0,
ACUPUNCTURE,62321,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,62321,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,62321,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,62321,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,62321,1,1,rule,Hard Pend Specialty,0,0
INTERVENTIONAL PAIN MANAGEMENT,62321,0,1,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,62321,0,1,rule,Pend EPL,0,
PAIN MANAGEMENT,62321,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,62321,1,1,DBA,,1,0.97
PHYSIATRY,62321,0,1,rule,Pend EPL,0,
PHYSICAL THERAPY/REHAB,62321,0,1,rule,Pend EPL,0,
RADIOLOGY_s,62321,0,1,rule,Pend EPL,0,
SURGERY - NEURO,62321,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,62321,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,62321,0,1,rule,Pend EPL,0,
ACUPUNCTURE,64450,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,64450,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,64450,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,64450,0,1,rule,Pend EPL,0,
ANESTHESIOLOGY,64450,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,64450,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,64450,1,1,rule,Hard Pend Specialty,0,0
INTERVENTIONAL RADIOLOGY,64450,0,0,rule,Pend EPL,0,0
INTERVENTIONAL RADIOLOGY,64450,1,1,rule,low volume,0,
NEUROLOGY,64450,0,0,rule,Pend EPL,0,0
NEUROLOGY,64450,1,1,rule,low volume,0,
PAIN MANAGEMENT,64450,0,0,rule,Pend EPL,0,0
PAIN MANAGEMENT,64450,1,1,DBA,,1,0.74
PEDIATRICS,64450,1,1,rule,low volume,0,
PODIATRY,64450,0,1,rule,Pend EPL,0,0
PODIATRY,64450,1,1,clinical,PA and RL review of pend specs,1,0.74
SURGERY - HAND,64450,0,1,rule,Pend EPL,0,0
SURGERY - HAND,64450,1,1,rule,Hard Pend Specialty,0,
SURGERY - MAXILLOFACIAL ORAL,64450,0,1,rule,Pend EPL,0,
SURGERY - NEURO,64450,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,64450,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,64450,1,1,rule,low volume,0,0
UROLOGY,64450,0,1,rule,Pend EPL,0,0
UROLOGY,64450,1,1,rule,low volume,0,0
WOUND CARE,64450,0,1,rule,Pend EPL,0,
WOUND CARE,64450,1,1,rule,low volume,0,
ACUPUNCTURE,64483,1,1,rule,Hard Pend Specialty,0,
ADDICTION MEDICINE,64483,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,64483,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,64483,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,64483,0,0,rule,Pend EPL,0,
FACILITY SERVICES,64483,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,64483,1,1,rule,Hard Pend Specialty,0,0
INTERVENTIONAL PAIN MANAGEMENT,64483,0,0,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,64483,0,1,rule,Pend EPL,0,0
INTERVENTIONAL RADIOLOGY,64483,1,1,rule,low volume,0,
PAIN MANAGEMENT,64483,0,0,rule,Pend EPL,0,0
PAIN MANAGEMENT,64483,1,1,DBA,,1,0.99
PHYSIATRY,64483,1,1,rule,low volume,0,
RADIOLOGY_s,64483,1,1,rule,low volume,0,
SURGERY - NEURO,64483,1,1,rule,low volume,0,
SURGERY - ORTHO,64483,0,0,rule,Pend EPL,0,0
SURGERY - ORTHO,64483,1,1,rule,low volume,0,
UNK PHYS SPEC,64483,0,1,rule,Pend EPL,0,0
ACUPUNCTURE,64484,1,1,rule,Hard Pend Specialty,0,
ADDICTION MEDICINE,64484,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,64484,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,64484,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,64484,0,0,rule,Pend EPL,0,
FACILITY SERVICES,64484,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,64484,1,1,rule,Hard Pend Specialty,0,0
INTERVENTIONAL PAIN MANAGEMENT,64484,0,0,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,64484,0,1,rule,Pend EPL,0,0
INTERVENTIONAL RADIOLOGY,64484,1,1,rule,low volume,0,
PAIN MANAGEMENT,64484,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,64484,1,1,DBA,,1,0.99
PHYSIATRY,64484,1,1,rule,low volume,0,
RADIOLOGY_b,64484,1,1,rule,low volume,0,
SURGERY - ORTHO,64484,0,0,rule,Pend EPL,0,
UNK PHYS SPEC,64484,0,1,rule,Pend EPL,0,0
ACUPUNCTURE,77002,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,77002,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,77002,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,77002,0,1,rule,Pend EPL,0,0
DIALYSIS,77002,0,1,rule,Pend EPL,0,
EMERGENCY SERVICES,77002,1,1,rule,low volume,0,
FACILITY SERVICES,77002,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,77002,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,77002,1,1,rule,low volume,0,
INTERVENTIONAL RADIOLOGY,77002,0,1,rule,Pend EPL,0,0
INTERVENTIONAL RADIOLOGY,77002,1,1,clinical,Soft Pend Specialty,0,0
NEPHROLOGY,77002,0,1,rule,Pend EPL,0,
NEUROLOGY,77002,1,1,rule,low volume,0,
PAIN MANAGEMENT,77002,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,77002,1,1,DBA,,1,0.77
PHYSIATRY,77002,0,1,rule,Pend EPL,0,
RADIATION ONCOLOGY,77002,0,0,rule,Pend EPL,0,
RADIOLOGY_b,77002,0,1,rule,Pend EPL,0,0
RADIOLOGY_b,77002,1,1,DBA,,1,0.04
RADIOLOGY_s,77002,0,1,rule,Pend EPL,0,0
RADIOLOGY_s,77002,1,1,DBA,,1,0.26
SURGERY - ORTHO,77002,0,1,rule,Pend EPL,0,0
SURGERY - ORTHO,77002,1,1,rule,low volume,0,0
SURGERY - VASCULAR,77002,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,77002,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,77002,1,1,rule,low volume,0,0
ACUPUNCTURE,96372,1,1,rule,Hard Pend Specialty,0,
ADDICTION MEDICINE,96372,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,96372,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,96372,1,1,clinical,PA and RL review of pend specs,1,0.71
AMBULANCE,96372,0,1,rule,Pend EPL,0,
AMBULATORY SURGICAL CENTER,96372,1,1,rule,Hard Pend Specialty,0,
CARDIOLOGY,96372,0,1,rule,Pend EPL,0,
CARDIOLOGY,96372,1,1,rule,low volume,0,0
DENTIST,96372,0,1,rule,Pend EPL,0,
DERMATOLOGY,96372,0,1,rule,Pend EPL,0,0
DERMATOLOGY,96372,1,1,DBA,,1,0.27
DIALYSIS,96372,0,1,rule,Pend EPL,0,0
DIALYSIS,96372,1,1,rule,low volume,0,
EMERGENCY SERVICES,96372,0,1,rule,Pend EPL,0,
ENDOCRINOLOGY,96372,0,1,rule,Pend EPL,0,0
ENDOCRINOLOGY,96372,1,1,DBA,,1,0.8
ENT-OTOLARYNGOLOGY,96372,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,96372,1,1,rule,low volume,0,
FACILITY SERVICES,96372,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,96372,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,96372,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,96372,1,1,DBA,,1,0.5
GENERAL PRACTICE,96372,0,1,rule,Pend EPL,0,
GERIATRICS,96372,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,96372,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,96372,1,1,DBA,,1,0.42
HOME HEALTH,96372,0,1,rule,Pend EPL,0,
HOME HEALTH,96372,1,1,rule,Hard Pend Specialty,0,
HOSPITALIST,96372,0,0,rule,Pend EPL,0,
INFECTIOUS DISEASE,96372,0,1,rule,Pend EPL,0,0
INFECTIOUS DISEASE,96372,1,1,rule,low volume,0,0
INFUSION THERAPY,96372,0,1,rule,Pend EPL,0,0
INTERNAL MEDICINE,96372,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,96372,1,1,DBA,,1,0.55
NEPHROLOGY,96372,0,1,rule,Pend EPL,0,0
NEPHROLOGY,96372,1,1,DBA,,1,1
NEUROLOGY,96372,0,1,rule,Pend EPL,0,
NEUROLOGY,96372,1,1,rule,low volume,0,0
NUCLEAR MEDICINE,96372,0,1,rule,Pend EPL,0,
NURSE PRACTITIONER,96372,0,1,rule,Pend EPL,0,0
NURSE PRACTITIONER,96372,1,1,rule,Hard Pend Specialty,0,
NURSING,96372,0,1,rule,Pend EPL,0,0
OBSTETRICS/GYNECOLOGY,96372,0,1,rule,Pend EPL,0,0
OBSTETRICS/GYNECOLOGY,96372,1,1,DBA,,1,0.38
ONCOLOGY - GYN,96372,0,1,rule,Pend EPL,0,0
ONCOLOGY - GYN,96372,1,1,rule,low volume,0,0
ONCOLOGY - MEDICAL,96372,0,1,rule,Pend EPL,0,0
ONCOLOGY - MEDICAL,96372,1,1,rule,low volume,0,
OPHTHALMOLOGY,96372,0,1,rule,Pend EPL,0,
OPHTHALMOLOGY,96372,1,1,rule,low volume,0,
PAIN MANAGEMENT,96372,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,96372,1,1,DBA,,1,0.49
PEDIATRICS,96372,0,1,rule,Pend EPL,0,
PEDIATRICS,96372,1,1,rule,low volume,0,
PERINATOLOGY,96372,0,1,rule,Pend EPL,0,0
PERINATOLOGY,96372,1,1,rule,low volume,0,
PHARMACY,96372,0,1,rule,Pend EPL,0,0
PHARMACY,96372,1,1,rule,Hard Pend Specialty,0,0
PHYSICIAN ASSISTANT,96372,0,1,rule,Pend EPL,0,
PHYSICIAN ASSISTANT,96372,1,1,rule,low volume,0,0
PODIATRY,96372,0,1,rule,Pend EPL,0,
PSYCHIATRY,96372,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,96372,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,96372,1,1,rule,low volume,0,0
RADIATION ONCOLOGY,96372,0,1,rule,Pend EPL,0,
RADIOLOGY_s,96372,0,1,rule,Pend EPL,0,
RHEUMATOLOGY,96372,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,96372,1,1,DBA,,1,0.6
SURGERY - COLONRECTAL,96372,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,96372,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,96372,1,1,rule,low volume,0,0
SURGERY - MAXILLOFACIAL ORAL,96372,1,0,rule,low volume,0,
SURGERY - ONCOLOGY,96372,0,1,rule,Pend EPL,0,0
SURGERY - ONCOLOGY,96372,1,1,rule,low volume,0,0
SURGERY - ORTHO,96372,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,96372,1,1,rule,low volume,0,0
SURGERY - PLASTIC/RECONSTRUCT,96372,0,1,rule,Pend EPL,0,0
SURGERY - PLASTIC/RECONSTRUCT,96372,1,1,rule,low volume,0,
UNK PHYS SPEC,96372,0,1,rule,Pend EPL,0,0
URGENT/IMMEDIATE CARE,96372,0,1,rule,Pend EPL,0,0
UROLOGY,96372,0,1,rule,Pend EPL,0,0
UROLOGY,96372,1,1,DBA,,1,0.51
WOUND CARE,96372,1,1,rule,low volume,0,
ACUPUNCTURE,97010,0,1,rule,Pend EPL,0,
CHIROPRACTIC,97010,0,1,rule,Pend EPL,0,
CHIROPRACTIC,97010,1,0,rule,Hard Pend Specialty,0,
DENTIST,97010,1,0,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,97010,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,97010,1,1,rule,low volume,0,
NEPHROLOGY,97010,1,1,rule,low volume,0,
OCCUPATIONAL THERAPY,97010,0,1,rule,Pend EPL,0,0
OPHTHALMOLOGY,97010,0,1,rule,Pend EPL,0,
PHYSICAL THERAPY/REHAB,97010,0,1,rule,Pend EPL,0,0
PHYSICAL THERAPY/REHAB,97010,1,1,clinical,Soft Pend Specialty,0,0
SURGERY - ORTHO,97010,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97016,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97016,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,97016,1,1,rule,Hard Pend Specialty,0,0
OCCUPATIONAL THERAPY,97016,0,1,rule,Pend EPL,0,
OCCUPATIONAL THERAPY,97016,1,1,rule,Hard Pend Specialty,0,
PHYSICAL THERAPY/REHAB,97016,0,1,rule,Pend EPL,0,0
PHYSICAL THERAPY/REHAB,97016,1,1,rule,low volume,0,
UNK PHYS SPEC,97016,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97024,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97024,1,0,rule,Hard Pend Specialty,0,
CHIROPRACTIC,97024,0,1,rule,Pend EPL,0,
CHIROPRACTIC,97024,1,1,rule,Hard Pend Specialty,0,0
CUSTODIAL CARE,97024,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,97024,0,1,rule,Pend EPL,0,
NON-CONTRACT UNKWN BILL AREA,97024,0,1,rule,Pend EPL,0,
PODIATRY,97024,1,1,rule,low volume,0,
UNK PHYS SPEC,97024,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97026,0,1,rule,Pend EPL,0,0
ACUPUNCTURE,97026,1,1,rule,Hard Pend Specialty,0,0
CHIROPRACTIC,97026,0,1,rule,Pend EPL,0,
FACILITY SERVICES,97026,0,1,rule,Pend EPL,0,
OCCUPATIONAL THERAPY,97026,0,1,rule,Pend EPL,0,
OCCUPATIONAL THERAPY,97026,1,1,rule,Hard Pend Specialty,0,0
PHYSICAL THERAPY/REHAB,97026,0,1,rule,Pend EPL,0,
PHYSICAL THERAPY/REHAB,97026,1,1,rule,low volume,0,
UNK PHYS SPEC,97026,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97032,1,1,rule,Hard Pend Specialty,0,
CHIROPRACTIC,97032,0,1,rule,Pend EPL,0,0
CHIROPRACTIC,97032,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,97032,0,0,rule,Pend EPL,0,0
INTERNAL MEDICINE,97032,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,97032,0,1,rule,Pend EPL,0,0
OBSTETRICS/GYNECOLOGY,97032,1,1,DBA,,1,0
OCCUPATIONAL THERAPY,97032,0,1,rule,Pend EPL,0,
OCCUPATIONAL THERAPY,97032,1,1,rule,Hard Pend Specialty,0,0
PAIN MANAGEMENT,97032,0,1,rule,Pend EPL,0,
PAIN MANAGEMENT,97032,1,1,rule,low volume,0,
PHYSICAL THERAPY/REHAB,97032,0,1,rule,Pend EPL,0,0
PHYSICAL THERAPY/REHAB,97032,1,1,clinical,Soft Pend Specialty,0,0
PODIATRY,97032,0,1,rule,Pend EPL,0,0
PODIATRY,97032,1,1,rule,low volume,0,
SURGERY - ORTHO,97032,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,97032,0,1,rule,Pend EPL,0,0
UROLOGY,97032,1,1,rule,low volume,0,
ACUPUNCTURE,97110,0,1,rule,Pend EPL,0,
ACUPUNCTURE,97110,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,97110,0,1,rule,Pend EPL,0,
AMBULATORY SURGICAL CENTER,97110,1,1,rule,Hard Pend Specialty,0,
CARDIOLOGY,97110,1,1,rule,low volume,0,
CHIROPRACTIC,97110,0,1,rule,Pend EPL,0,0
CHIROPRACTIC,97110,1,1,rule,Hard Pend Specialty,0,0
CUSTODIAL CARE,97110,0,1,rule,Pend EPL,0,0
CUSTODIAL CARE,97110,1,1,rule,Hard Pend Specialty,0,0
DME & MEDICAL SUPPLIES,97110,1,1,rule,low volume,0,
EMERGENCY SERVICES,97110,0,1,rule,Pend EPL,0,
ENDOCRINOLOGY,97110,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,97110,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,97110,1,1,rule,low volume,0,0
FACILITY SERVICES,97110,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,97110,1,1,rule,Hard Pend Specialty,0,0
FACILITY SERVICES,97110,1,1,rule,Hard Pend Specialty,0,0
FACILITY SERVICES,97110,1,1,rule,Hard Pend Specialty,0,0
FACILITY SERVICES,97110,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,97110,0,1,rule,Pend EPL,0,0
FAMILY PRACTICE,97110,1,1,rule,low volume,0,0
GASTROENTEROLOGY,97110,1,1,rule,low volume,0,0
GENERAL PRACTICE,97110,0,1,rule,Pend EPL,0,
GENERAL PRACTICE,97110,1,1,rule,low volume,0,
HEALTH ENHANCEMENT,97110,0,1,rule,Pend EPL,0,
HEALTH ENHANCEMENT,97110,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,97110,0,1,rule,Pend EPL,0,
HOME HEALTH,97110,0,1,rule,Pend EPL,0,0
HOME HEALTH,97110,1,1,rule,Hard Pend Specialty,0,0
HOSPITALIST,97110,0,1,rule,Pend EPL,0,0
HOSPITALIST,97110,1,1,rule,low volume,0,
INTERNAL MEDICINE,97110,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,97110,1,1,rule,low volume,0,0
NEPHROLOGY,97110,1,1,rule,low volume,0,
NEUROLOGY,97110,0,1,rule,Pend EPL,0,0
NEUROLOGY,97110,1,1,rule,low volume,0,0
NON-CONTRACT UNKWN BILL AREA,97110,0,1,rule,Pend EPL,0,
NURSE PRACTITIONER,97110,0,1,rule,Pend EPL,0,
NURSE PRACTITIONER,97110,1,1,rule,Hard Pend Specialty,0,
NURSING,97110,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,97110,1,1,rule,low volume,0,0
OCCUPATIONAL MEDICINE,97110,0,1,rule,Pend EPL,0,
OCCUPATIONAL THERAPY,97110,0,1,rule,Pend EPL,0,0
OCCUPATIONAL THERAPY,97110,1,1,rule,Hard Pend Specialty,0,0
OPHTHALMOLOGY,97110,0,1,rule,Pend EPL,0,
OPHTHALMOLOGY,97110,1,1,rule,low volume,0,0
OPTOMETRY,97110,0,0,rule,Pend EPL,0,
OPTOMETRY,97110,1,0,rule,Hard Pend Specialty,0,
ORTHOTICS AND PROSTHETICS,97110,1,1,rule,low volume,0,0
PAIN MANAGEMENT,97110,0,0,rule,Pend EPL,0,0
PAIN MANAGEMENT,97110,1,0,clinical,from PRL,0,0
PALLIATIVE CARE,97110,0,1,rule,Pend EPL,0,0
PALLIATIVE CARE,97110,1,1,rule,Hard Pend Specialty,0,
PEDIATRICS,97110,0,1,rule,Pend EPL,0,
PEDIATRICS,97110,1,1,rule,low volume,0,
PHARMACY,97110,1,1,rule,Hard Pend Specialty,0,0
PHYSIATRY,97110,0,1,rule,Pend EPL,0,
PHYSIATRY,97110,1,1,clinical,from PRL,0,0
PHYSICAL THERAPY/REHAB,97110,0,1,rule,Pend EPL,0,0
PHYSICAL THERAPY/REHAB,97110,1,1,clinical,PA and RL review of pend specs,1,0.98
PHYSICIAN ASSISTANT,97110,1,1,rule,low volume,0,0
PODIATRY,97110,0,1,rule,Pend EPL,0,
PODIATRY,97110,1,1,rule,low volume,0,
PSYCHIATRY,97110,1,1,rule,Hard Pend Specialty,0,
PULMONARY DISEASE,97110,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,97110,1,1,rule,low volume,0,0
RADIATION ONCOLOGY,97110,1,1,rule,low volume,0,
RADIOLOGY_b,97110,1,1,rule,low volume,0,0
RADIOLOGY_s,97110,1,1,rule,low volume,0,0
RHEUMATOLOGY,97110,0,1,rule,Pend EPL,0,
RHEUMATOLOGY,97110,1,1,rule,low volume,0,0
SLEEP STUDY,97110,0,1,rule,Pend EPL,0,
SNF - FAC,97110,0,1,rule,Pend EPL,0,0
SNF - FAC,97110,1,1,rule,Hard Pend Specialty,0,
SPORTS MEDICINE,97110,0,1,rule,Pend EPL,0,
SPORTS MEDICINE,97110,1,1,rule,Hard Pend Specialty,0,
SURGERY - HAND,97110,0,1,rule,Pend EPL,0,0
